Name,Category
كيلو تكا وكباب  / Tekka Kebab Kilo,Grill Kilo
كيلو شيش طاووق  / Tawouk Kilo,Grill Kilo
كيلو طاووق و تكا / Tekka Tawouk Kilo,Grill Kilo
كيلو عرايس   / Arayes Kilo,Grill Kilo
كيلو كبة على السيخ   / Kibbeh Seekh Kilo,Grill Kilo
كيلو مشاوي  لحم مشكلة / Mix Grill Meat Kilo,Grill Kilo
كيلو مشاوي الفرح لحم  / Alfarah Mix Grill Meat Kilo,Grill Kilo
كيلو مشاوي مشكلة  / Mixed Grill Kilo,Grill Kilo
 صدر دجاج مشوى مع صلصة الفطر/Grilled Chicken Breast,Grill Meals
دجاج مشوي  / Chicken Grill Full Meal,Grill Meals
نصف دجاجة مشوية / Chicken Grill Half Meal,Grill Meals
وجبة تكا  / Tekka Meal,Grill Meals
وجبة تكا و كباب / Tekka Kebab Meal,Grill Meals
وجبة جوانح دجاج / Grill Chicken Wings,Grill Meals
وجبة ريش / Lamb Chops Meal,Grill Meals
وجبة شرائح تكا   / Tekka Chops Meal,Grill Meals
وجبة طاووق  / Tawouk Meal,Grill Meals
وجبة طاووق و تكا / Tekka Tawouk Meal,Grill Meals
وجبة عرايس / Arayes Meal,Grill Meals
وجبة كباب / Kebab Meal,Grill Meals
وجبة كباب أورفلي / Kebab Orfali Meal,Grill Meals
وجبة كباب حلبي / Kebab Halabi Meal,Grill Meals
وجبة كباب خشخاش  / Kebab Khishkhash Meal,Grill Meals
وجبة كباب دجاج / Chicken Kebab Meal,Grill Meals
وجبة كباب عراقي / Kebab Iraqi Meal,Grill Meals
وجبة كباب و ريش / Kebab Chops Meal,Grill Meals
وجبة كباب و طاووق / Kebab Tawouk Meal,Grill Meals
وجبة كبة على السيخ / Kibbeh Seekh Meal,Grill Meals
وجبة كبة مشوية / Grill Kibbeh Meal,Grill Meals
وجبة لحم فتايل / Tenderloin Meal,Grill Meals
وجبة مشاوي   / Mixed Grill Meal,Grill Meals
وجبة مشاوي الفرح / Al Farah Mixed Grill Meal,Grill Meals
وجبة مشاوي لحم  / Mix Grl Meat Meal,Grill Meals
وجبة مشاوي لحم الفرح  / Alfarah Mix Grill Meat Meal,Grill Meals
  سيخ ليَة / Fat Seekh,Grill Other
 حبة عرايس / Arayes Piece,Grill Other
 سيخ بصل / Onion Seekh,Grill Other
 سيخ طاووق / Tawouk Seekh,Grill Other
 سيخ كباب / Kebab Seekh,Grill Other
Muhammarah Bread Slice ,Grill Other
حبة ريش  / Lamb Chops Piece,Grill Other
سيخ بندورة / Tomato Seekh,Grill Other
سيخ تكا / Tekka Seekh,Grill Other
كبة صاجية / Kibbeh Sajiyah,Grill Other
 رد فيلفيت فراب /  Red Valvet Frappe,Hot Drinks
 موكا ساخنة بالكاكاو / Coco Hot Mocha,Hot Drinks
Revolution Tea ,Hot Drinks
إسبريسو / Espresso,Hot Drinks
أميريكانو / Americano,Hot Drinks
دبل إسبريسو/ Double Espresso,Hot Drinks
شاي أحمر تاتلى / Tetly Red Tea,Hot Drinks
شاي احمر لبتون /Lipton Red Tea,Hot Drinks
شاي اخضر لبتون /Lipton Green Tea,Hot Drinks
شاي أخضرتاتلى / Tetly Green Tea,Hot Drinks
شاي كرك / Karak Tea,Hot Drinks
شاي مغربي / Moroccan Tea,Hot Drinks
شوكولا حمراء ساخنة / Red Valvet Hot Chocolate ,Hot Drinks
قهوة بالكاراميل / Caramel Coffee,Hot Drinks
قهوة تركية / Turkish Coffee,Hot Drinks
قهوة لاتيه / Coffee Latte,Hot Drinks
قهوة موكا / Coffee Mocha,Hot Drinks
كابيتشينو / Cappucino,Hot Drinks
كراميل موكا فراب مع الكاكاو/ Caramel Coco Mocha Frappe,Hot Drinks
Pumpkin jam jar,Jars
مرطبان زيتون اخضر / Green Olive Jar,Jars
مرطبان كرات لبنة / Labneh Balls Jar,Jars
مرطبان مربى الورد / Rose jam Jar,Jars
مرطبان مكدوس / Makdous Jar,Jars
قنينة عصير الأفوكادو / Avocado Bottle,Juice Bottles
قنينة عصير أناناس / Pineapple Bottle,Juice Bottles
قنينة عصير برتقال / Orange Bottle,Juice Bottles
قنينة عصير بطيخ / Watermelon Bottle,Juice Bottles
قنينة عصير جوافة / Guava Bottle,Juice Bottles
قنينة عصير رمان / Pomegranate Bottle,Juice Bottles
قنينة عصير فراولة / Strawberry Bottle,Juice Bottles
قنينة عصير ليمونادا / Lemonade Bottle ,Juice Bottles
قنينة عصير مانجو / Mango Bottle,Juice Bottles
قنينة عصير مشكل / Fruit Mix Bottle,Juice Bottles
قنينة لبن عيران / Ayran Bottle,Juice Bottles
عصير الأفوكادو / Avocado Juice,Juices
عصير الجزر / Carrot Juice,Juices
عصير الرمان / Pomegranate Juice,Juices
عصير أناناس  / Pineapple Juice,Juices
عصير أناناس و برتقال / Pineapple Orange Juice,Juices
عصير برتقال / Orange Juice,Juices
عصير بطيخ / Watermelon Juice,Juices
عصير جزر و برتقال / Carrot Orange Juice,Juices
عصير جوافة / Guava Juice,Juices
عصير فراولة / Strawberry Juice,Juices
عصير ليمون / Country Lemonade,Juices
عصير ليمون نعنع  / Lemon & Mint,Juices
عصير مانجو / Mango Juice,Juices
عصير مشكل / Fruit Mix,Juices
 نصف فروج ماكين/Half Roasted Chicken,Main Course
بسمشكات / Basmashkat,Main Course
حراق أصبعو / Harak Esbao,Main Course
ستيك دجاج  مع صلصة الفطر  / Chicken Mushroom,Main Course
ستيك لحم مع صلصة الفطر / Steak Mushroom,Main Course
ستيك لحم مع صلصة الفلفل الأسود / Pepper Steak,Main Course
سكالوب دجاج   / Chicken Escalope,Main Course
شرحات مطفاية / Sharhat Mtafayi,Main Course
فروج بطاطا بالصينية / Chicken Potato Saniyeh,Main Course
فروج ماكينة / Roasted Chicken ,Main Course
فوارغ / Fwaregh NEW,Main Course
كبة بالصينية / Kibbeh Saniyeh,Main Course
كبة مبرومة / Kibbeh Roll,Main Course
كفتة بالبندورة / Kofta Tomato,Main Course
كفتة بالطحينة / Kofta Tahina,Main Course
كوردون بلو / Cordon Blue,Main Course
موزات الضأن / Lamb Shank,Main Course
وجبة أوزي / Ouzi Meal,Main Course
  ماجيكال بترفلاي / MAGICAL BUTTERFLY PEA,Mocktails
 ليمون فراولة / STRAWBERRY LEMONAD ,Mocktails
 ليمون مع فاكهة الباشن/ PASSION FRUIT LEMONAD,Mocktails
ليمون استوائى / BLUE OCEAN LEMONAD ,Mocktails
ميلك شيك بالشوكولا / Chocolate Milkshake,Mocktails
ميلك شيك بالفراولة / Strawberry Milkshake,Mocktails
ميلك شيك فانيلا / Vanilla Milkshake,Mocktails
موهيتو بطيخ / Watermelon Mojito,Mojitos
موهيتو فراولة / Strawberry Mojito,Mojitos
موهيتو كلاسيك / Classic Mojito,Mojitos
موهيتو مع فاكهة الباشن/ Passion Fruit Mojito,Mojitos
باستا الفرح / Al Farah Pasta,Pasta
باستا بينى بولونيز / Penne Bolognaise,Pasta
باستا سباجيتى مع صلصة البندورة / Spaghetti Tomato Sauce,Pasta
باستا فيتوتشينى / Fettuccine Alfredo,Pasta
باستا قيتوتشيني مع صلصة البيستو / Fettuccine Pesto,Pasta
بيستو فوسيلى  / Pesto Fusilli,Pasta
بيني أرابياتا / Penne Arabiata,Pasta
سباغيتي بولونيز / Spagitti Bolognaise,Pasta
فيتوتشيني بورسينى  / Fettuccine Porcini,Pasta
 كيلو منقوشة مجرمشة ( أسمر )/ Mjarmashe Brown Kilo,Pastry Brown
منقوشة بطاطا (أسمر) / Potato Brown,Pastry Brown
منقوشة بيض( أسمر ) / Egg Brown,Pastry Brown
منقوشة جبنة ( أسمر ) / Cheese Brown,Pastry Brown
منقوشة جبنة و سبانخ (أسمر)/ Cheese Spinach Mankoushe Brown,Pastry Brown
منقوشة جبنة و محمرة (أسمر)/ Cheese Muhammara Mankoushe Brown,Pastry Brown
منقوشة جبنة و مورتاديلا (أسمر)/ Cheese Mortadella Mankoushe Brown,Pastry Brown
منقوشة جبنة وبيض (أسمر)/ Cheese Egg Mankoushe Brown,Pastry Brown
منقوشة جبنة ودجاج(أسمر)/Cheese Chicken Manakoushe(brown),Pastry Brown
منقوشة جبنة وزعتر ( أسمر ) / Cheese Zaatar Brown,Pastry Brown
منقوشة جبنة وسجق(أسمر)/ Cheese with Sausage Brown,Pastry Brown
منقوشة جبنة ولحم(أسمر)/ Cheese with Meat Brown,Pastry Brown
منقوشة حلوم ( أسمر ) / Halloumi Brown,Pastry Brown
منقوشة خضار مشكل ( أسمر ) / Mixed Veg Brown,Pastry Brown
منقوشة دجاج ( أسمر ) / Chicken Brown,Pastry Brown
منقوشة زعتر ( أسمر ) / Zaatar Brown,Pastry Brown
منقوشة سبانخ ( أسمر ) / Spinach Brown,Pastry Brown
منقوشة سجق (أسمر) / Sausage Brown,Pastry Brown
منقوشة شرحات( أسمر )  / Sharhat Brown,Pastry Brown
منقوشة شنكليش ( أسمر ) / Shankleesh Brown,Pastry Brown
منقوشة قشطة وعسل خبز أسمر / Cream Honey Brown,Pastry Brown
منقوشة قشقوان ( أسمر ) / Kashkaval Brown,Pastry Brown
منقوشة كرافت ( أسمر ) / Kraft Brown,Pastry Brown
منقوشة كشك ( أسمر ) / Kishek Brown,Pastry Brown
منقوشة كفتة ( أسمر ) / Kofta Brown,Pastry Brown
منقوشة لبنة ( أسمر ) / Labneh Brown,Pastry Brown
منقوشة لبنة مكدوس ( أسمر ) ) / Makdous Labneh Manakish (Brown ),Pastry Brown
منقوشة لحم عجين خضار ( أسمر ) / Lahem Ajeen Veg Brown,Pastry Brown
منقوشة لحم عجين دبس رمان ( أسمر ) / Lahem Ajeen Pom Brown,Pastry Brown
منقوشة مجرمشة ( أسمر ) / Mjarmasheh Brown,Pastry Brown
منقوشة محمرة ( أسمر )  / Muhammara Brown,Pastry Brown
منقوشة مكدوس ( أسمر ) / Makdous Manakish (Brown),Pastry Brown
خبز أبيض طازج / Fresh Bread White,Pastry Other
فطائر  بطاطا صغيرة  / Potato Mini Fatayer,Pastry Other
فطائر  بيتزا صغيرة / Pizza Mini Fatayer,Pastry Other
فطائر  جبنة صغيرة / Cheese Mini Fatayer,Pastry Other
فطائر  زعتر صغيرة / Zaatar Mini Fatayer,Pastry Other
فطائر  سبانخ صغيرة / Spinach Mini Fatayer,Pastry Other
فطائر  شنكليش صغيرة / Shankleesh Fatayer,Pastry Other
فطائر  لبنة صغيرة / Labneh Mini Fatayer,Pastry Other
فطائر  لحمة صغيرة / Meat Mini Fatayer,Pastry Other
فطائر  محمرة صغيرة / Muhammara Mini Fatayer,Pastry Other
فطائر  نقانق صغيرة / Hot Dog Mini,Pastry Other
فطائر  نقانق كبيرة / Large Hotdog,Pastry Other
فطائر سبانخ  كبيرة / Spinach Big Fatayer,Pastry Other
كيلو عجين أبيض / Dough White Kilo,Pastry Other
كيلو عجين خبز أسمر / Dough Brown Kilo,Pastry Other
الفرح بايتس 18 حبة /ALFARAH BITTES 18 PCs,Pastry Special
الفرح بايتس 36 حبة/ALFARAH BITTES 36 PCs,Pastry Special
منقوشة  جبنة وتركي  / Cheese Turkey Special,Pastry Special
منقوشة شاورما دجاج   / Chicken Shawarma Special,Pastry Special
منقوشة شاورما لحم   / Beef Shawarma Special,Pastry Special
منقوشة كفتة  / Kofta Special,Pastry Special
منقوشة نوتيلا  / Nutella Special,Pastry Special
 كيلو مناقيش مجرمشة / Mjarmasheh Kilo,Pastry White
شرحات على العجين / Sharhat,Pastry White
منقوشة بطاطا / Potato Mankoushe,Pastry White
منقوشة بيض / Egg Mankoushe,Pastry White
منقوشة جبنة / Cheese,Pastry White
منقوشة جبنة حلومى / Halloumi Mankoushe,Pastry White
منقوشة جبنة قشقوان / Kashkaval Mankoushe,Pastry White
منقوشة جبنة كرافت / Kraft Mankoushe,Pastry White
منقوشة جبنة و سبانخ/ Cheese Spinach Mankoushe,Pastry White
منقوشة جبنة و محمرة/ Cheese Muhammara Mankoushe,Pastry White
منقوشة جبنة و مورتاديلا/ Cheese Mortadella Mankoushe,Pastry White
منقوشة جبنة وبقدونس / Cheese Parsley Mankoushe,Pastry White
منقوشة جبنة وبيض/ Cheese Egg Mankoushe,Pastry White
منقوشة جبنة ودجاج/ Cheese Chicken Manakoushe,Pastry White
منقوشة جبنة وزعتر / Cheese Zaatar,Pastry White
منقوشة جبنة وسجق/ Cheese with Sausage Mankoushe,Pastry White
منقوشة جبنة ولحم/ Cheese with Meat Mankoushe,Pastry White
منقوشة خضار مشكلة / Mixed Veg Mankoushe,Pastry White
منقوشة دجاج / Chicken Mankoushe,Pastry White
منقوشة زعتر / Zaatar Mankoushe,Pastry White
منقوشة سبانخ / Spinach Mankoushe,Pastry White
منقوشة سجق / Sausage Mankoushe,Pastry White
منقوشة شنكليش / Shankleesh Mankoushe,Pastry White
منقوشة قشطة وعسل / Cream Honey,Pastry White
منقوشة كشك / Kishek Mankoushe,Pastry White
منقوشة كفتة / Kofta Mankoushe,Pastry White
منقوشة لبنة / Labneh Mankoushe,Pastry White
منقوشة لبنة مكدوس / Makdous Labneh Manakish,Pastry White
منقوشة لحم بعجين خضار / Lahem Ajeen Veg Mankoushe,Pastry White
منقوشة لحم بعجين دبس رمان / Lahem Ajeen Pom Mankoushe,Pastry White
منقوشة مجرمشة / Mjarmasheh Mankoushe,Pastry White
منقوشة محمرة / Muhammara Mankoushe,Pastry White
منقوشة مكدوس / Makdous Manakish,Pastry White
بيتزا بيبيروني / Pepperoni Pizza,Pizza
بيتزا خضار  / Vegetable Pizza,Pizza
بيتزا دجاج / Chicken Pizza,Pizza
بيتزا لحم / Beef Pizza,Pizza
بيتزا مارغريتا / Margherita Pizza,Pizza
بيتزا مرتديلا / Mortadella Pizza,Pizza
 ساندويش بيض مسلوق/ Boiled Egg Sandwich,Sandwiches
 ساندويش بيض مقلي/ Fried Egg Sandwich,Sandwiches
 ساندويش حلومي/ Halloumi Sandwich,Sandwiches
 ساندويش سجق/ Sausage Sandwich,Sandwiches
 ساندويش سكالوب الدجاج/ Escalope Sandwich,Sandwiches
 ساندويش فرانسيسكو/ Francisco Sandwich,Sandwiches
 ساندويش مسحب الدجاج/ Mosaheb Chicken Sandwitch,Sandwiches
 وجبة فلادلفيا/ Philadelphia Meal,Sandwiches
برجر دجاج / Chicken Burger,Sandwiches
برجر لحم / Beef Burger,Sandwiches
ساندوتش فاهيتا / Fajita Sandwich,Sandwiches
ساندويش بطاطا مقلية / Potato Sandwich,Sandwiches
ساندويش تكا / Tekka Sandwich,Sandwiches
ساندويش طاووق / Tawouk Sandwich,Sandwiches
فلادلفيا ساندوتش / Philadelphia Sandwich,Sandwiches
فلافل ساندوتش صغير / Falafel Sandwich Small,Sandwiches
فلافل ساندوتش كبير / Falafel Sandwich Large,Sandwiches
كباب ساندوتش / Kebab Sandwich,Sandwiches
كبدة دجاج ساندوتش / Chicken Liver Sandwich,Sandwiches
لبنة ساندوتش / Labneh Sandwich,Sandwiches
مقالي ساندوتش / Fried Veg Sandwich,Sandwiches
مينى فلافل سانوتش / Mini Falafel Sandwich,Sandwiches
وجبة ساندويش تكا / Tekka Sandwich Meal,Sandwiches
وجبة ساندويش طاووق / Tawouk Sandwich Meal,Sandwiches
وجبة سكالوب دجاج ساندوتش  / Chicken Escalope Meal,Sandwiches
وجبة فاهيتا ساندوتش / Fajita Sandwich Meal,Sandwiches
وجبة فرانسيسكو ساندوتش / Francisco Sandwich Meal,Sandwiches
وجبة كباب ساندوتش / Kebab Sandwich Meal,Sandwiches
 (كيلو لحم بعجين خضار ( أسمر  / Lahem Ajeen Veg Kilo Brown,Shamiyat Brown
 كيلو شاميات  سبانخ ( أسمر)  / Spinach Shamiyat Brown Kilo,Shamiyat Brown
 كيلو شاميات خضار ( أسمر ) / Meat Veg Shamiyat Brown Kilo,Shamiyat Brown
 كيلو شاميات دبس رمان ( أسمر ) / Meat Pom Shamiyat Brown Kilo,Shamiyat Brown
 كيلو شاميات مشكلة ( أسمر ) / Mix Shamiyat Brown Kilo,Shamiyat Brown
نصف كيلو شاميات مشكلة  ( أسمر ) /  Mix Shamiyat Brown 1/2 Kilo,Shamiyat Brown
(كيلو لحم بعجين دبس رمان  (أسمر / Lahem Ajeen Pom Kilo Brown ,Shamiyat Brown
شاميات جبنة ( أسمر )   / Cheese Shamiya Brown,Shamiyat Brown
شاميات خضار ( أسمر )  / Meat Veg Shamiya Brown,Shamiyat Brown
شاميات دبس رمان ( أسمر ) / Meat Pom Shamiya Brown,Shamiyat Brown
شاميات سبانخ ( أسمر )  / Spinach Shamiya Brown,Shamiyat Brown
كيلو شاميات جبنة ( أسمر ) / Cheese Shamiyat Brown Kilo,Shamiyat Brown
 كيلو شاميات جبنة  / Cheese Shamiyat Kilo,Shamiyat White
 كيلو شاميات خضار / Meat Veg Shamiyat Kilo,Shamiyat White
 كيلو شاميات مشكلة / Mix Shamiyat Kilo,Shamiyat White
 كيلو لحم بعجين خضار   / Lahem Ajeen Veg Kilo,Shamiyat White
 كيلو لحم بعجين دبس رمان  / Lahem Ajeen Pom Kilo,Shamiyat White
نصف كيلو شاميات مشكلة /  Mix Shamiyat 1/2 Kilo,Shamiyat White
شاميات جبنة / Cheese Shamiya,Shamiyat White
شاميات خضار  / Meat Veg Shamiya,Shamiyat White
شاميات دبس الرومان / Meat Pom Shamiya,Shamiyat White
شاميات سبانخ / Spinach Shamiya,Shamiyat White
كيلو شاميات دبس رمان   / Meat Pom Shamiyat Kilo,Shamiyat White
كيلو شاميات سبانخ   / Spinach Shamiyat Kilo,Shamiyat White
 كيلو شاورما دجاج/  KG Chicken Shawarma,Shawarma
 كيلو شاورما لحم / KG Meat Shawarma ,Shawarma
Baked Potato ,Shawarma
شاورما دجاج ( خبز تركي )  / Turkey Chicken Shawarma,Shawarma
شاورما دجاج ( خبز سمون ) / Chicken Shawarma Samoon,Shawarma
شاورما دجاج ( صغير ) / Chicken Shawarma Small,Shawarma
شاورما دجاج ( عربي ) / Chicken Shawarma Arabic,Shawarma
شاورما دجاج ( كبير ) / Chicken Shawarma Large,Shawarma
شاورما لحم ( خبز تركي ) / Turkey Beef Shawarma,Shawarma
شاورما لحم ( خبز سمون ) /Meat Shawarma Samoon,Shawarma
شاورما لحم ( صغير ) / Meat Shawarma Small,Shawarma
شاورما لحم (كبير) /Meat Shawarma Large,Shawarma
شاورما لحم( عربي ) / Beef Shawarma Arabic,Shawarma
طبق شاورما دجاج / Chicken Shawarma Plate,Shawarma
طبق شاورما لحم / Beef Shawarma Plate,Shawarma
طبق شاورما مشكل / Mix Shawarma Plate,Shawarma
عرايس شاورما دجاج / Chicken Shawarma Arayes,Shawarma
عرايس شاورما لحم / Beef Shawarma Arayes,Shawarma
مسحب فروج ماكينة / Roasted Mosaheb Chicken ,Shawarma
مينى شاورما لحم / Mini Beef Shawarma,Shawarma
ميني شاورما دجاج / Mini Chicken Shawarma,Shawarma
أرجيلة  تفاح دبل   / Double Apple Shisha,Shisha
أرجيلة الفرح مشكلة  / Al Farah Mix Shisha,Shisha
أرجيلة أناناس طازج  / Pineapple Shisha,Shisha
أرجيلة برتقال طازج / Orange Shisha,Shisha
أرجيلة توت / Blueberry Shisha,Shisha
أرجيلة سلوم / Salloum Shisha,Shisha
أرجيلة علكة وقرفة / Gum & Cinamon Shisha,Shisha
أرجيلة علكة ونعنع  / Gum & Mint Shisha,Shisha
أرجيلة عنب / Grape Shisha,Shisha
أرجيلة عنب ونعنع / Grape & Mint Shisha,Shisha
أرجيلة غريب فروت  / Griffon Shisha,Shisha
أرجيلة ليمون   / Lemon Shisha,Shisha
أرجيلة ليمون ونعنع / Lemon & Mint Shisha,Shisha
أرجيلة نعنع / Mint Shisha,Shisha
رأس أرجيلة جديد / Shisha New Head,Shisha
 تروبي كولادا /Tropi Colada,Smoothie Drinks
الكاريبي / The Caribbean,Smoothie Drinks
بلاك ديتوكس / Black Detox,Smoothie Drinks
بيت ذا هيت / Beat the Heat,Smoothie Drinks
جرين ماشين / Green Machine,Smoothie Drinks
راسبيري لوف / Raspberry Love,Smoothie Drinks
مانجو بارادايس / Mango paradise,Smoothie Drinks
بيبسي / Pepsi,Soft Drinks
بيبسي / Pepsi - Take away ,Soft Drinks
بيبسي دايت / Pepsi Diet,Soft Drinks
بيبسي دايت / Pepsi Diet - Take away,Soft Drinks
سفن أب / Seven Up,Soft Drinks
سفن أب / Seven Up - Take away,Soft Drinks
سفن أب دايت /  Seven Up Diet,Soft Drinks
سفن أب دايت /  Seven Up Diet - Take away,Soft Drinks
عيران/Ayran,Soft Drinks
ماونتن ديو / Mountain Dew,Soft Drinks
ماونتن ديو / Mountain Dew - Take away ,Soft Drinks
مياة محلية صغيرة / Local Water Small,Soft Drinks
مياة محلية صغيرة / Local Water Small - Take away ,Soft Drinks
مياة محلية كبيرة / Local Water Large,Soft Drinks
مياه غازية /Sparkling Water,Soft Drinks
